time,type,address,beforeTCBalance,beforeUserBalance,afterTCBalance,afterUserBalance
9.979579110385792,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0,999.83487598,0.1,999.73208842552551091
31.878456596301774,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.1,999.73208842552551091,0.2,999.629412778801614106
35.17326021806994,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.2,999.629412778801614106,0.3,999.52678314421476741
56.91183085970785,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.3,999.52678314421476741,0.4,999.424202534560294845
57.93164632306457,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.4,999.424202534560294845,0.5,999.321649308658320893
59.988539631224214,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.5,999.321649308658320893,0.6,999.21913595849630478
62.128216244449845,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.6,999.21913595849630478,0.7,999.116650435718569871
117.25913909303941,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.7,999.116650435718569871,0.8,999.014197527444612951
120.65821167399442,deposit,0xa8e84b3ccaa0e86f56da6605f95c5095695cd572,0.8,1000,0.9,999.897552637029626044
121.16690066563905,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,0.9,999.014197527444612951,1,998.911777282051512698
144.48205400284405,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,1,998.911777282051512698,1.1,998.809373967042966673
152.62943322271465,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,1.1,998.809373967042966673,1.2,998.706993383816847393
154.1606087808234,deposit,0x2880ca46775a1e9d68dd59c134823764685b154e,1.2,1000,1.3,999.897624771544637343
154.45747769855316,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,1.3,998.706993383816847393,1.4,998.604637515835647257
154.9017461097012,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,1.4,998.604637515835647257,1.5,998.502291914181634913
155.7731848838252,deposit,0xf8cf200bac6503bdea195fb4a8abed9687416e03,1.5,1000,1.6,999.897671135958698094
161.13490794674277,deposit,0xce260d4505f5adf017301bd1b932d2e5d6d999e2,1.6,1000,1.7,999.89765585307955476
161.89297422017944,deposit,0x528704127327e29e999734dc214fac80f2cff259,1.7,1000,1.8,999.897670563912273431
170.57208432591904,deposit,0xbc8290b5714f65fbfcd40b53f7dba5743500c9e9,1.8,1000,1.9,999.897676837620898649
174.51953434407073,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,1.9,998.502291914181634913,2,998.399981878615408873
184.41117848293518,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2,998.399981878615408873,2.1,998.297669096902000173
193.05609829559614,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.1,998.297669096902000173,2.2,998.195368170365673053
202.10259543480973,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.2,998.195368170365673053,2.3,998.093071094645741973
227.604370290009,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.3,998.093071094645741973,2.4,997.990784866794547697
234.5025721815519,withdraw,0x0421e698e3eeb9942bbe8ed3b439e2b252093321,2.4,997.990784866794547697,2.3,997.990000466670372447
242.56551662334942,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.3,997.990000466670372447,2.4,997.887704743441620363
242.74223311573854,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.4,997.887704743441620363,2.5,997.785418830860245915
249.12441813553846,deposit,0xda314219ea1e7ad6e69527939a87d8d47a0f8e0c,2.5,1000,2.6,999.897716151929886
251.6435106669021,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.6,997.785418830860245915,2.7,997.683144273284528499
255.41480707772777,deposit,0xb4b5a16b8fd8a6a6686c1ae3003fd169c1ae0f41,2.7,1000,2.8,999.897719538940177808
258.5782053650813,deposit,0x124fa6b9701119668e9bdcf3c7869c7d5110904b,2.8,1000,2.9,999.897771434503592949
267.3897384864712,withdraw,0xa97a7a9c93fe561136e1a55598f2a4fe64084789,2.9,999.897771434503592949,2.8,999.896991469324605467
267.8216065153743,deposit,0x6b1d6c780624d7e9a39bc5be7afac1d2460be539,2.8,1000,2.9,999.89777371782610983
279.0710301585935,withdraw,0xa7c257ed617f71819db937fc56fb66e923f28e9a,2.9,999.89777371782610983,2.8,999.89699442652702408
281.08540808136837,deposit,0xf43142171d3831864bd63f63e48967271f54b4ca,2.8,1000,2.9,999.897782985019541
301.0070333892555,withdraw,0xebe212e56af98798706e86bb17a6b0b8b7ad1406,2.9,999.897782985019541,2.8,999.897004208864669554
312.5036935594246,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.8,997.683144273284528499,2.9,997.580898301094584773
313.0919364873247,withdraw,0x9431e2c63e35b92e7da542ffc16fc052cffb4e8d,2.9,997.580898301094584773,2.8,997.580119946983410193
316.60834594263355,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,2.8,997.580119946983410193,2.9,997.477882538027137913
321.74120198362243,deposit,0xb7d71c2fe732c1a02aad9d4bf4f173fb053ec71a,2.9,1000,3,999.8977630859687844
325.48558682881,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,3,997.477882538027137913,3.1,997.375653495326367549
325.9486949897964,deposit,0x3400b4b07d6eee878d55895467798fc1c996380f,3.1,1000,3.2,999.897763865110690612
336.0690594394222,deposit,0xea5deb9035c3fa33acfc99d1521e45af5428a133,3.2,1000,3.3,999.897771650379739712
350.54796729999936,deposit,0xba33a06d29c1900ffa1ec7c41f2e34c095586bda,3.3,1000,3.4,999.89777197524234717
350.6368253493943,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,3.4,997.375653495326367549,3.5,997.273433188103734846
354.47608023831964,deposit,0x432603c5a6719663cb94d4a8e82c56c04b753c1f,3.5,1000,3.6,999.897764919230760037
355.45942453742225,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,3.6,997.273433188103734846,3.7,997.171205773404607056
355.91061733740287,deposit,0xe2da58c20ece95bed82fe0133f4f4c076e465204,3.7,1000,3.8,999.897772807856019804
362.8901468057435,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,3.8,997.171205773404607056,3.9,997.068986206262687061
369.55670464686943,deposit,0x8c430ca731abadb39773ecac1a5dff929b569e8b,3.9,1000,4,999.897773134557496452
370.06345421155936,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4,997.068986206262687061,4.1,996.966766934275891901
370.75147123783586,deposit,0xc4fc9b10410f5d4a583b27f51145126fe44caaa0,4.1,1000,4.2,999.897780888233683335
373.0848799820433,withdraw,0xd0a287f48c82dca2e58bc63d7370107b50ff7b89,4.2,999.897780888233683335,4.1,999.897003732499923581
379.46986339710463,withdraw,0x9b08dfa164bfce24cefe5e6aef6644415b4be3df,4.1,999.897003732499923581,4,999.896226633793578407
389.748547248738,deposit,0x051f8decf201c6535c127ea5cc4de2a015ff701f,4,1000,4.1,999.897788601228804484
393.9186227674271,withdraw,0xa9159c31b7bc73029c5db1a58639f62a2c9058ca,4.1,999.897788601228804484,4,999.897011516224410164
399.6114276337604,deposit,0x94e3af8870fe2e6602c36fb9b3622300973e6f59,4,1000,4.1,999.897766129060604388
401.29047694046426,deposit,0xb3b5842c303411e9ba288beb1012c783a4602040,4.1,1000,4.2,999.897773657166094396
407.79688346548903,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.2,996.966766934275891901,4.3,996.864540725588666801
414.2356400554632,withdraw,0xdf7d955394a7ff3400d0a70435f7cd901fc170e8,4.3,996.864540725588666801,4.2,996.863763760139596551
415.05971162612457,deposit,0x5ae25c26fd6d5d369d5edfffc2875dd73f81e1f1,4.2,1000,4.3,999.89778131082815037
421.78750672977884,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.3,996.863763760139596551,4.4,996.761537679456036455
432.40721620523937,withdraw,0x37f9d1a290aad542aeb70423e536572139d2b9c1,4.4,996.761537679456036455,4.3,996.760760742649104455
442.48325276512634,withdraw,0x07d8d0132eda90dbbc0b7d109aeb7550173f37fb,4.3,996.760760742649104455,4.2,996.759983903413975755
443.3010300131633,withdraw,0x67d1735c4195b3b3363042c031fe1e768009d2a6,4.2,996.759983903413975755,4.1,996.759206950810209547
446.81238031447515,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.1,996.759206950810209547,4.2,996.6569884340198771
450.4584744526373,withdraw,0x9759a2627d9f81b3d491891c6ad1d2b13ba5c123,4.2,996.6569884340198771,4.1,996.656211552159203326
456.1956024721602,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.1,996.656211552159203326,4.2,996.553993127285176027
462.4006634515075,withdraw,0x0c16c28ed9cd9e7b9e0006cc2b83e53190d52bd7,4.2,996.553993127285176027,4.1,996.553216253740783347
463.17476430746257,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.1,996.553216253740783347,4.2,996.451005332448829907
469.2903800995382,withdraw,0xeae2e9f7f5ed838e02759529050df7b40d35ab44,4.2,996.451005332448829907,4.1,996.450228405343085799
473.4131674855411,withdraw,0x0a6fe06cdf43321c15809004cf1f890f1607f0ce,4.1,996.450228405343085799,4,996.449451480943146425
480.03927196495863,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4,996.449451480943146425,4.1,996.347225617165746189
496.48981051349773,deposit,0xdb274c5c1607ec6e02b0e7043a4abdad8d12da81,4.1,1000,4.2,999.897781654602466255
500.22993466319383,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.2,996.347225617165746189,4.3,996.245007311813229569
509.3070789168821,deposit,0x5da71efc177b71c5b66ecd1fbb31784dbc6a0c59,4.3,1000,4.4,999.897789181711768098
517.2092413259493,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.4,996.245007311813229569,4.5,996.142789079841303873
520.6858329325765,withdraw,0xc59bc262c8c7b2df458c302c334e16e8ba2a63f6,4.5,996.142789079841303873,4.4,996.142012135732517933
523.7185191778354,withdraw,0x6f7e60d38e491a8beea1e1eefcc2befb3826cec4,4.4,996.142012135732517933,4.3,996.141235252739095683
526.9784032446985,withdraw,0x30f310ce1948c0a13887398f83f9fbdbf74cb789,4.3,996.141235252739095683,4.2,996.140458340723643533
527.3708084263908,deposit,0x67f34e93c01c0325c72b96be10c524fcc4423c25,4.2,1000,4.3,999.897789262480486144
532.2512058754106,withdraw,0x7173bb0c27daa55864dd1f76d77bc8686c441638,4.3,999.897789262480486144,4.2,999.897012382047954644
545.1646094811368,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.2,996.140458340723643533,4.3,996.038247672156411667
554.9459517584769,withdraw,0x105d2a3342e6adae7f4866ede5723d976a1cf390,4.3,996.038247672156411667,4.2,996.037470792949167417
555.9763108486007,deposit,0x960093cdf03c8ea80720d4cc1f2b176e19ea2e6b,4.2,1000,4.3,999.897796817028761742
558.0237141883915,withdraw,0xa88e1d9432830a2e7be3c9758ceb13af7e543c6c,4.3,999.897796817028761742,4.2,999.897019938770547992
559.6725106507652,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.2,996.037470792949167417,4.3,995.935229614699868881
562.2857991166009,deposit,0xd8076d1cd5edd3071e5d6b44a7785d9a670e96c5,4.3,1000,4.4,999.897766305244089525
563.6778835275509,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.4,995.935229614699868881,4.5,995.832995985796519898
565.1603088286444,withdraw,0xefbd8ba91fbd0a107b2a96b76390391b94c7a0d6,4.5,995.832995985796519898,4.4,995.832219048830874348
566.4010572721273,withdraw,0xdb968843ff31b6b35e6ab90d87141c5a4c1e14b6,4.4,995.832219048830874348,4.3,995.83144220210596771
568.3307888923041,deposit,0xa66792a4044bc6fa1b762a1f84ec1d7d9e3cf60d,4.3,1000,4.4,999.897773855661698368
580.7809736839084,deposit,0x82629682f4fd9c0e446fb39bccdf76735fd759aa,4.4,1000,4.5,999.8977664386582811
580.8601534274766,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.5,995.83144220210596771,4.6,995.72921612372678586
624.4662269129788,deposit,0x8368dc25595cf5189ca1b3f05bd262d419a16b22,4.6,1000,4.7,999.897773987018037004
625.3346926365098,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.7,995.72921612372678586,4.8,995.626997593603598944
651.7995965366782,deposit,0xa5eddbe340c865ec1a6118494dbc1b51e545138b,4.8,995.626997593603598944,4.9,995.524764098772726171
658.9645522539954,withdraw,0x41c7b044e8792abe5e7e3aad84e2b5bc695d8509,4.9,995.524764098772726171,4.8,995.523987163057013649
659.99788240214,withdraw,0x5dc3ccb50d8630e86a9dbf8d881b9251d74fd7bb,4.8,995.523987163057013649,4.7,995.523210257428652885
